Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Adam Jones,Orioles,3.139,2010,False,False,False,3250000.0,Adam,Jones,MLBTR
Alberto Callaspo,Angels,3.135,2010,False,False,False,2000000.0,Alberto,Callaspo,MLBTR
Alberto Gonzalez,Nationals,2.135,2010,False,False,False,600000.0,Alberto,Gonzalez,MLBTR
Alex Gordon,Royals,3.092,2010,False,False,False,1400000.0,Alex,Gordon,MLBTR
Alexi Casilla,Twins,3.038,2010,False,False,False,865000.0,Alexi,Casilla,MLBTR
Andres Torres,Giants,3.115,2010,False,False,False,2100000.0,Andres,Torres,MLBTR
Andy Sonnanstine,Rays,3.066,2010,False,False,False,912000.0,Andy,Sonnanstine,MLBTR
Angel Pagan,Mets,4.144,2010,False,False,False,3500000.0,Angel,Pagan,MLBTR
Anibal Sanchez,Marlins,4.099,2010,False,False,False,3700000.0,Anibal,Sanchez,MLBTR
Armando Galarraga,Tigers,2.148,2010,False,False,False,2300000.0,Armando,Galarraga,MLBTR
Asdrubal Cabrera,Indians,3.027,2010,False,False,False,2025000.0,Asdrubal,Cabrera,MLBTR
Ben Francisco,Phillies,3.049,2010,False,False,False,1175000.0,Ben,Francisco,MLBTR
Bill Bray,Reds,3.018,2010,False,False,False,645000.0,Bill,Bray,MLBTR
Billy Butler,Royals,3.102,2010,True,False,False,,Billy,Butler,MLBTR
Boone Logan,Yankees,3.14,2010,False,False,False,1200000.0,Boone,Logan,MLBTR
Brad Ziegler,Athletics,2.122,2010,False,False,False,1250000.0,Brad,Ziegler,MLBTR
Brandon Morrow,Blue Jays,3.091,2010,False,False,False,2300000.0,Brandon,Morrow,MLBTR
Brandon League,Mariners,4.145,2010,False,False,False,2250000.0,Brandon,League,MLBTR
Brayan Pena,Royals,3.081,2010,False,False,False,660000.0,Brayan,Pena,MLBTR
Brendan Ryan,Mariners,3.082,2010,True,False,False,,Brendan,Ryan,MLBTR
Burke Badenhop,Marlins,2.143,2010,False,False,False,750000.0,Burke,Badenhop,MLBTR
C.J. Wilson,Rangers,5.055,2010,False,False,False,7050000.0,C.J.,Wilson,MLBTR
Carlos Gomez,Brewers,3.141,2010,False,False,False,1500000.0,Carlos,Gomez,MLBTR
Carlos Villanueva,Blue Jays,4.03,2010,False,False,False,1415000.0,Carlos,Villanueva,MLBTR
Carlos Marmol,Cubs,4.084,2010,True,False,False,,Carlos,Marmol,MLBTR
Carlos Quentin,White Sox,4.065,2010,False,False,False,5050000.0,Carlos,Quentin,MLBTR
Casey Janssen,Blue Jays,4.063,2010,False,False,False,1095000.0,Casey,Janssen,MLBTR
Chad Billingsley,Dodgers,4.11,2010,False,False,False,6275000.0,Chad,Billingsley,MLBTR
Chase Headley,Padres,2.123,2010,False,False,False,2535000.0,Chase,Headley,MLBTR
Chris Perez,Indians,2.136,2010,False,False,False,2225000.0,Chris,Perez,MLBTR
Chris Denorfia,Padres,3.041,2010,False,False,False,800000.0,Chris,Denorfia,MLBTR
Clay Hensley,Marlins,3.161,2010,False,False,False,1400000.0,Clay,Hensley,MLBTR
Clint Barmes,Astros,5.122,2010,False,False,False,3925000.0,Clint,Barmes,MLBTR
Cody Ross,Giants,5.058,2010,False,False,False,6300000.0,Cody,Ross,MLBTR
Conor Jackson,Athletics,5.067,2010,False,False,False,3200000.0,Conor,Jackson,MLBTR
Craig Breslow,Athletics,3.088,2010,False,False,False,1400000.0,Craig,Breslow,MLBTR
Dallas Braden,Athletics,3.039,2010,False,False,False,3350000.0,Dallas,Braden,MLBTR
Dan Uggla,Braves,5.0,2010,True,False,False,,Dan,Uggla,MLBTR
Dan Johnson,Rays,3.048,2010,False,False,False,1000000.0,Dan,Johnson,MLBTR
Darren O'Day,Rangers,2.128,2010,False,False,False,1215000.0,Darren,O'Day,MLBTR
David Aardsma,Mariners,4.082,2010,False,False,False,4500000.0,David,Aardsma,MLBTR
David Murphy,Rangers,3.087,2010,False,False,False,2400000.0,David,Murphy,MLBTR
Delmon Young,Twins,4.034,2010,False,False,False,5375000.0,Delmon,Young,MLBTR
Doug Slaten,Nationals,3.043,2010,False,False,False,695000.0,Doug,Slaten,MLBTR
