Player,Season,Club,Position,MLS,Year WAR/WARP,Career WARP,Year Salary,Player Request,Club Offer,Next Year Salary,Estimate/Notes
"Burnes, Corbin",2023,MIL,rhp-s,4.049,5.4,14.4,"$6,500,000 ","$10,750,000 ","$10,010,000 ","$10,010,000 ","$13,100,000 "
"Alonso, Pete",2023,NYN,1b,4,5.4,14.4,"$7,400,000 ",,,"$14,500,000 ","$15,000,000 "
"Cease, Dylan",2023,CHA,rhp,3.089,4.5,7.7,"$750,000 ",,,"$5,700,000 ","$4,750,000 "
"Walker, Christian",2023,ARI,1b,4.124,4.4,10.4,"$2,600,000 ",,,"$6,500,000 ","$6,250,000 "
"Gallen, Zac",2023,ARI,rhp-s,3.1,4.2,9.6,"$745,600 ",,,"$5,600,000 ","$4,250,000 "
"Guerrero, Vladimir Jr.",2023,TOR,3b,3.157,4.1,11.8,"$7,900,000 ",,,"$14,500,000 ","$14,500,000 "
"Smith, Will",2023,LAN,c,3.09,4.1,10.8,"$730,000 ",,,"$5,250,000 ","$5,250,000 "
"Tucker, Kyle",2023,HOU,of,3.079,4.1,8.8,"$764,200 ","$7,500,000 ","$5,000,000 ","$5,000,000 ","$4,750,000 "
"Murphy, Sean",2023,ATL,c,3.029,4,7.5,"$725,000 ",,6 y/$73M extn,,"$3,900,000 "
"Ward, Taylor",2023,ANA,3b,2.164,3.9,4.7,"$720,000 ",,,"$2,750,000 ","$3,250,000 "
"Bieber, Shane",2023,CLE,rhp-s,4.097,3.8,15.3,"$6,000,000 ",,,"$10,010,000 ","$12,750,000 "
"Devers, Rafael",2023,BOS,3b,5.07,3.7,15.6,"$11,200,000 ",,,"$17,500,000 ","$16,500,000 "
"Woodruff, Brandon",2023,MIL,rhp-s,4.161,3.7,14.5,"$6,800,000 ",,,"$10,800,000 ","$13,250,000 "
"McNeil, Jeff",2023,NYN,2b,4.069,3.6,9.3,"$3,000,000 ","$7,750,000 ","$6,250,000 ",,"$6,000,000 "
"Santander, Anthony",2023,BAL,rf,4.162,3.6,6.9,"$3,150,000 ",,,"$7,400,000 ","$7,100,000 "
"Trevino, Jose",2023,NYA,c,3.063,3.6,6.7,"$720,000 ",,,"$2,360,000 ","$3,600,000 "
"Fried, Max",2023,ATL,lhp-s,4.148,3.5,11.4,"$6,850,000 ","$15,000,000 ","$13,500,000 ","$13,500,000 ","$12,750,000 "
"Ohtani, Shohei",2023,ANA,rhp-s,5,3.5,11.3,"$5,500,000 ",,,"$30,000,000 ",
"Javier, Cristian",2023,HOU,rhp-s,3,3.5,4.8,"$749,100 ","$3,500,000 ","$3,000,000 ",5 y/$64M extn,"$3,000,000 "
"Díaz, Yandy",2023,TBA,3b,4.122,3.4,7.1,"$2,800,000 ","$6,300,000 ","$5,500,000 ",3 y/$24M extn,"$6,000,000 "
"Arraez, Luis",2023,MIA,2b,3.121,3.3,8.5,"$2,125,000 ","$6,100,000 ","$5,000,000 ","$6,100,000 ","$6,000,000 "
"Valdez, Framber",2023,HOU,lhp,3.163,3.3,7.8,"$3,000,000 ",,,"$6,800,000 ","$7,000,000 "
"Happ, Ian",2023,CHN,cf,5.036,3.2,7,"$6,850,000 ",,,"$10,850,000 ","$11,750,000 "
"Hoerner, Nico",2023,CHN,2b,3.014,3.2,5.5,"$720,000 ",,,"$2,525,000 ","$4,000,000 "
"Soto, Juan",2023,SDN,lf,4.134,3.1,22.5,"$17,100,000 ",,,"$23,000,000 ","$23,500,000 "
"Bichette, Bo",2023,TOR,ss,3.063,3.1,8.4,"$723,550 ","$7,500,000 ","$5,000,000 ",3 y/$33.6M ext,"$5,750,000 "
"Hernández, Teoscar",2023,SEA,lf,5.097,3,12.5,"$10,650,000 ","$16,000,000 ","$14,000,000 ","$14,000,000 ","$15,000,000 "
"Torres, Gleyber",2023,NYA,ss,4.162,2.9,11.7,"$6,250,000 ","$10,200,000 ","$9,700,000 ","$9,950,000 ","$9,500,000 "
"Mullins, Cedric",2023,BAL,cf,3.078,2.9,8.5,"$716,500 ",,,"$4,100,000 ","$5,000,000 "
"Singer, Brady",2023,KCA,rhp-s,2.156,2.9,5.3,"$726,250 ","$3,325,000 ","$2,950,000 ","$2,950,000 ","$3,750,000 "
"Rodgers, Brendan",2023,COL,ss,3.075,2.9,4.7,"$710,000 ",,,"$2,700,000 ","$3,750,000 "
"Rosario, Amed",2023,CLE,ss-of,5.062,2.8,6.2,"$4,950,000 ",,,"$7,800,000 ","$9,000,000 "
"Varsho, Daulton",2023,TOR,c,2.128,2.8,4.2,"$721,700 ",,,"$3,050,000 ","$2,550,000 "
"Webb, Logan",2023,SFN,rhp-s,3.044,2.7,7.6,"$730,000 ",,,"$4,600,000 ","$4,500,000 "
"Edman, Tommy",2023,SLN,2b,3.114,2.7,7.3,"$722,900 ",,,"$4,200,000 ","$4,100,000 "
