Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Blackmon, Charlie",2018,5.102,7300000.0,14000000.0,,,,,,,,,,,,,,,,,,,,,,,Charlie,Blackmon,cf
"Bryant, Kris",2018,2.171,1050000.0,10850000.0,,,,,,,,,,,,,,,,,,,,,,,Kris,Bryant,3b
"Rendon, Anthony",2018,4.13,5800000.0,12300000.0,,,,,,,,,,,,,,,,,,,,,,,Anthony,Rendon,3b
"Ozuna, Marcell",2018,4.124,3500000.0,9000000.0,,,,,,,,,,,,,,,,,,,,,,,Marcell,Ozuna,lf
"Betts, Mookie",2014,3.07,950000.0,10500000.0,26.0,1265.0,5757.0,5044.0,996.0,1485.0,347.0,34.0,252.0,756.0,172.0,37.0,0.10665277,0.138787562,0.232157018,0.305198019,0.294409199,0.373196593,0.526566217,0.3809376737218101,139.87266335205365,13611.0,Mookie,Betts,rf
"Realmuto, J.T.",2018,3.038,562500.0,2900000.0,,,,,,,,,,,,,,,,,,,,,,,J.T.,Realmuto,c
"LeMahieu, D.J.",2018,5.128,4800000.0,8500000.0,,,,,,,,,,,,,,,,,,,,,,,D.J.,LeMahieu,2b
"Schoop, Jonathan",2018,4.027,3475000.0,8500000.0,,,,,,,,,,,,,,,,,,,,,,,Jonathan,Schoop,2b-3b
"Grandal, Yasmani",2018,5.115,5500000.0,7900000.0,,,,,,,,,,,,,,,,,,,,,,,Yasmani,Grandal,c
"Springer, George",2018,3.166,3900000.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,George,Springer,cf
"Gregorius, Didi",2018,4.159,5100000.0,8250000.0,,,,,,,,,,,,,,,,,,,,,,,Didi,Gregorius,ss
"Abreu, Jose",2018,4.0,10825000.0,13000000.0,,,,,,,,,,,,,,,,,,,,,,,Jose,Abreu,1b
"Dickerson, Corey",2018,4.101,3025000.0,5950000.0,,,,,,,,,,,,,,,,,,,,,,,Corey,Dickerson,lf-dh
"Taylor, Michael",2018,3.01,557900.0,2525000.0,,,,,,,,,,,,,,,,,,,,,,,Michael,Taylor,of
"Donaldson, Josh",2018,5.158,17000000.0,23000000.0,,,,,,,,,,,,,,,,,,,,,,,Josh,Donaldson,3b
"Peralta, David",2018,3.12,572200.0,3300000.0,,,,,,,,,,,,,,,,,,,,,,,David,Peralta,rf
"Suarez, Eugenio",2018,3.061,595000.0,3750000.0,,,,,,,,,,,,,,,,,,,,,,,Eugenio,Suarez,3b
"Garcia, Avisail",2018,4.167,3000000.0,6700000.0,,,,,,,,,,,,,,,,,,,,,,,Avisail,Garcia,rf
"Hernandez, Cesar",2018,3.154,2550000.0,5100000.0,,,,,,,,,,,,,,,,,,,,,,,Cesar,Hernandez,2b
"Lamb, Jake",2018,3.053,573300.0,4275000.0,,,,,,,,,,,,,,,,,,,,,,,Jake,Lamb,3b
"Pollock, A.J.",2018,5.052,6750000.0,7750000.0,,,,,,,,,,,,,,,,,,,,,,,A.J.,Pollock,cf
"Zunino, Mike",2018,3.16,570000.0,2975000.0,,,,,,,,,,,,,,,,,,,,,,,Mike,Zunino,c
"Galvis, Freddy",2018,5.021,4350000.0,6825000.0,,,,,,,,,,,,,,,,,,,,,,,Freddy,Galvis,ss
"Beckham, Tim",2018,3.134,885000.0,3350000.0,,,,,,,,,,,,,,,,,,,,,,,Tim,Beckham,2b
"Spangenberg, Cory",2018,3.016,540000.0,1700000.0,,,,,,,,,,,,,,,,,,,,,,,Cory,Spangenberg,3b
"Maldonado, Martin",2018,5.156,1725000.0,3900000.0,,,,,,,,,,,,,,,,,,,,,,,Martin,Maldonado,c
"Davis, Khris",2018,4.104,5000000.0,10500000.0,,,,,,,,,,,,,,,,,,,,,,,Khris,Davis,lf
"d'Arnaud, Travis",2018,4.044,1875000.0,3475000.0,,,,,,,,,,,,,,,,,,,,,,,Travis,d'Arnaud,c
"Bogaerts, Xander",2018,4.042,4500000.0,7050000.0,,,,,,,,,,,,,,,,,,,,,,,Xander,Bogaerts,ss
"Gennett, Scooter",2018,4.071,2525000.0,5700000.0,,,,,,,,,,,,,,,,,,,,,,,Scooter,Gennett,2b
"Hernandez, Enrique",2018,3.054,555000.0,1600000.0,,,,,,,,,,,,,,,,,,,,,,,Enrique,Hernandez,2b-3b
"Joseph, Caleb",2018,3.145,700000.0,1250000.0,,,,,,,,,,,,,,,,,,,,,,,Caleb,Joseph,c
"Rojas, Miguel",2018,3.043,535000.0,1180000.0,,,,,,,,,,,,,,,,,,,,,,,Miguel,Rojas,ss
"Owings, Chris",2018,4.027,2300000.0,3400000.0,,,,,,,,,,,,,,,,,,,,,,,Chris,Owings,ss
"Panik, Joe",2018,3.1,600000.0,3450000.0,,,,,,,,,,,,,,,,,,,,,,,Joe,Panik,2b
"Bour, Justin",2018,3.064,552500.0,3400000.0,,,,,,,,,,,,,,,,,,,,,,,Justin,Bour,1b
"Souza, Steven",2018,3.072,546700.0,3550000.0,,,,,,,,,,,,,,,,,,,,,,,Steven,Souza,rf
"Hicks, Aaron",2018,4.041,1350000.0,2825000.0,,,,,,,,,,,,,,,,,,,,,,,Aaron,Hicks,of
"Vazquez, Christian",2018,3.031,561000.0,1425000.0,,,,,,,,,,,,,,,,,,,,,,,Christian,Vazquez,c
"Semien, Marcus",2018,3.118,545000.0,3125000.0,,,,,,,,,,,,,,,,,,,,,,,Marcus,Semien,ss
"Russell, Addison",2018,2.167,644000.0,3200000.0,,,,,,,,,,,,,,,,,,,,,,,Addison,Russell,ss
"Sanchez, Yolmer",2018,2.134,546000.0,2350000.0,,,,,,,,,,,,,,,,,,,,,,,Yolmer,Sanchez,2b
"Dietrich, Derek",2018,3.151,1700000.0,2900000.0,,,,,,,,,,,,,,,,,,,,,,,Derek,Dietrich,2b-3b
"Flores, Wilmer",2018,4.003,2200000.0,3400000.0,,,,,,,,,,,,,,,,,,,,,,,Wilmer,Flores,2b-3b
"Perez, Hernan",2018,3.079,545700.0,1975000.0,,,,,,,,,,,,,,,,,,,,,,,Hernan,Perez,3b
