Player,Season,MLS,Year Salary,Next Year Salary,G,R,H,HR,RBI,SB,AVG,OBP,SLG,playerid,Position_1b,Position_2b,Position_3b,Position_c,Position_cf,Position_dh,Position_inf,Position_lf,Position_of,Position_rf,Position_ss
"Blackmon, Charlie",2018,5.102,7300000.0,14000000.0,159.0,137.0,213.0,37.0,104.0,14.0,0.330745341,0.398891966,0.600931677,7859.0,False,False,False,False,True,False,False,False,False,False,False
"Bryant, Kris",2018,2.171,1050000.0,10850000.0,151.0,111.0,162.0,29.0,73.0,7.0,0.295081967,0.409022556,0.537340619,15429.0,False,False,True,False,False,False,False,False,False,False,False
"Rendon, Anthony",2018,4.13,5800000.0,12300000.0,147.0,81.0,153.0,25.0,100.0,7.0,0.301181102,0.403305785,0.533464566,12861.0,False,False,True,False,False,False,False,False,False,False,False
"Ozuna, Marcell",2018,4.124,3500000.0,9000000.0,159.0,93.0,191.0,37.0,124.0,1.0,0.311582381,0.375552282,0.54812398,10324.0,False,False,False,False,False,False,False,True,False,False,False
"Betts, Mookie",2018,3.07,950000.0,10500000.0,153.0,101.0,166.0,24.0,102.0,26.0,0.26433121,0.344101123,0.458598726,13611.0,False,False,False,False,False,False,False,False,False,True,False
"Realmuto, J.T.",2018,3.038,562500.0,2900000.0,141.0,68.0,148.0,17.0,65.0,8.0,0.278195488,0.331606217,0.451127819,11739.0,False,False,False,True,False,False,False,False,False,False,False
"LeMahieu, D.J.",2018,5.128,4800000.0,8500000.0,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False
"Schoop, Jonathan",2018,4.027,3475000.0,8500000.0,160.0,92.0,182.0,32.0,105.0,1.0,0.292604501,0.337777777,0.503215434,11265.0,False,True,False,False,False,False,False,False,False,False,False
"Grandal, Yasmani",2018,5.115,5500000.0,7900000.0,129.0,50.0,108.0,22.0,58.0,0.0,0.246575342,0.307692307,0.458904109,11368.0,False,False,False,True,False,False,False,False,False,False,False
"Springer, George",2018,3.166,3900000.0,12000000.0,140.0,112.0,155.0,34.0,85.0,5.0,0.282846715,0.366826156,0.52189781,12856.0,False,False,False,False,True,False,False,False,False,False,False
"Gregorius, Didi",2018,4.159,5100000.0,8250000.0,136.0,73.0,153.0,25.0,87.0,3.0,0.286516853,0.318101933,0.477528089,6012.0,False,False,False,False,False,False,False,False,False,False,True
"Abreu, Jose",2018,4.0,10825000.0,13000000.0,156.0,95.0,189.0,33.0,102.0,3.0,0.304347826,0.354074074,0.552334943,15676.0,True,False,False,False,False,False,False,False,False,False,False
