Player,Team,Service,Extension,Year,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Adam Jones,Orioles,3.139,False,2011,False,False,3250000.0,Adam,Jones,MLBTR
Alberto Callaspo,Angels,3.135,False,2011,False,False,2000000.0,Alberto,Callaspo,MLBTR
Alberto Gonzalez,Nationals,2.135,False,2011,False,False,600000.0,Alberto,Gonzalez,MLBTR
Alex Gordon,Royals,3.092,False,2011,False,False,1400000.0,Alex,Gordon,MLBTR
Alexi Casilla,Twins,3.038,False,2011,False,False,865000.0,Alexi,Casilla,MLBTR
Andres Torres,Giants,3.115,False,2011,False,False,2100000.0,Andres,Torres,MLBTR
Andy Sonnanstine,Rays,3.066,False,2011,False,False,912000.0,Andy,Sonnanstine,MLBTR
Angel Pagan,Mets,4.144,False,2011,False,False,3500000.0,Angel,Pagan,MLBTR
Anibal Sanchez,Marlins,4.099,False,2011,False,False,3700000.0,Anibal,Sanchez,MLBTR
Armando Galarraga,Tigers,2.148,False,2011,False,False,2300000.0,Armando,Galarraga,MLBTR
Asdrubal Cabrera,Indians,3.027,False,2011,False,False,2025000.0,Asdrubal,Cabrera,MLBTR
Ben Francisco,Phillies,3.049,False,2011,False,False,1175000.0,Ben,Francisco,MLBTR
Bill Bray,Reds,3.018,False,2011,False,False,645000.0,Bill,Bray,MLBTR
Billy Butler,Royals,3.102,True,2011,False,False,,Billy,Butler,MLBTR
Boone Logan,Yankees,3.14,False,2011,False,False,1200000.0,Boone,Logan,MLBTR
Brad Ziegler,Athletics,2.122,False,2011,False,False,1250000.0,Brad,Ziegler,MLBTR
Brandon Morrow,Blue Jays,3.091,False,2011,False,False,2300000.0,Brandon,Morrow,MLBTR
Brandon League,Mariners,4.145,False,2011,False,False,2250000.0,Brandon,League,MLBTR
Brayan Pena,Royals,3.081,False,2011,False,False,660000.0,Brayan,Pena,MLBTR
Brendan Ryan,Mariners,3.082,True,2011,False,False,,Brendan,Ryan,MLBTR
Burke Badenhop,Marlins,2.143,False,2011,False,False,750000.0,Burke,Badenhop,MLBTR
C.J. Wilson,Rangers,5.055,False,2011,False,False,7050000.0,C.J.,Wilson,MLBTR
Carlos Gomez,Brewers,3.141,False,2011,False,False,1500000.0,Carlos,Gomez,MLBTR
Carlos Villanueva,Blue Jays,4.03,False,2011,False,False,1415000.0,Carlos,Villanueva,MLBTR
Carlos Marmol,Cubs,4.084,True,2011,False,False,,Carlos,Marmol,MLBTR
Carlos Quentin,White Sox,4.065,False,2011,False,False,5050000.0,Carlos,Quentin,MLBTR
Casey Janssen,Blue Jays,4.063,False,2011,False,False,1095000.0,Casey,Janssen,MLBTR
Chad Billingsley,Dodgers,4.11,False,2011,False,False,6275000.0,Chad,Billingsley,MLBTR
Chase Headley,Padres,2.123,False,2011,False,False,2535000.0,Chase,Headley,MLBTR
Chris Perez,Indians,2.136,False,2011,False,False,2225000.0,Chris,Perez,MLBTR
Chris Denorfia,Padres,3.041,False,2011,False,False,800000.0,Chris,Denorfia,MLBTR
Clay Hensley,Marlins,3.161,False,2011,False,False,1400000.0,Clay,Hensley,MLBTR
Clint Barmes,Astros,5.122,False,2011,False,False,3925000.0,Clint,Barmes,MLBTR
Cody Ross,Giants,5.058,False,2011,False,False,6300000.0,Cody,Ross,MLBTR
Conor Jackson,Athletics,5.067,False,2011,False,False,3200000.0,Conor,Jackson,MLBTR
Craig Breslow,Athletics,3.088,False,2011,False,False,1400000.0,Craig,Breslow,MLBTR
Dallas Braden,Athletics,3.039,False,2011,False,False,3350000.0,Dallas,Braden,MLBTR
Dan Uggla,Braves,5.0,True,2011,False,False,,Dan,Uggla,MLBTR
Dan Johnson,Rays,3.048,False,2011,False,False,1000000.0,Dan,Johnson,MLBTR
Darren O'Day,Rangers,2.128,False,2011,False,False,1215000.0,Darren,O'Day,MLBTR
David Aardsma,Mariners,4.082,False,2011,False,False,4500000.0,David,Aardsma,MLBTR
David Murphy,Rangers,3.087,False,2011,False,False,2400000.0,David,Murphy,MLBTR
Delmon Young,Twins,4.034,False,2011,False,False,5375000.0,Delmon,Young,MLBTR
Doug Slaten,Nationals,3.043,False,2011,False,False,695000.0,Doug,Slaten,MLBTR
Dustin McGowan,Blue Jays,4.113,False,2011,False,False,450000.0,Dustin,McGowan,MLBTR
Edinson Volquez,Reds,3.12,False,2011,False,False,1625000.0,Edinson,Volquez,MLBTR
Edward Mujica,Marlins,3.115,False,2011,False,False,800000.0,Edward,Mujica,MLBTR
Eric O'Flaherty,Braves,3.062,False,2011,False,False,895000.0,Eric,O'Flaherty,MLBTR
Erick Aybar,Angels,4.086,False,2011,False,False,3000000.0,Erick,Aybar,MLBTR
Felipe Paulino,Rockies,2.163,False,2011,False,False,790000.0,Felipe,Paulino,MLBTR
Felix Pie,Orioles,3.012,False,2011,False,False,985000.0,Felix,Pie,MLBTR
Francisco Liriano,Twins,4.104,False,2011,False,False,4300000.0,Francisco,Liriano,MLBTR
Geovany Soto,Cubs,3.096,False,2011,False,False,3000000.0,Geovany,Soto,MLBTR
Glen Perkins,Twins,3.01,False,2011,False,False,700000.0,Glen,Perkins,MLBTR
Heath Bell,Padres,5.099,False,2011,False,False,7500000.0,Heath,Bell,MLBTR
Hong-Chih Kuo,Dodgers,4.114,False,2011,False,False,2725000.0,Hong-Chih,Kuo,MLBTR
Howie Kendrick,Angels,4.091,False,2011,False,False,3300000.0,Howie,Kendrick,MLBTR
Humberto Quintero,Astros,4.141,False,2011,False,False,1000000.0,Humberto,Quintero,MLBTR
Hunter Pence ,Astros,3.156,False,2011,False,False,6900000.0,Hunter,Pence ,MLBTR
Ian Stewart,Rockies,2.154,False,2011,False,False,2229000.0,Ian,Stewart,MLBTR
J.J. Hardy,Orioles,5.164,False,2011,False,False,5850000.0,J.J.,Hardy,MLBTR
Jacoby Ellsbury,Red Sox,3.037,False,2011,False,False,2400000.0,Jacoby,Ellsbury,MLBTR
Jair Jurrjens,Braves,3.047,False,2011,False,False,3250000.0,Jair,Jurrjens,MLBTR
James Loney,Dodgers,4.012,False,2011,False,False,4875000.0,James,Loney,MLBTR
Jared Burton,Reds,3.014,False,2011,False,False,770000.0,Jared,Burton,MLBTR
Jarrod Saltalamacchia,Red Sox,3.043,False,2011,False,False,750000.0,Jarrod,Saltalamacchia,MLBTR
Jason Vargas,Mariners,3.114,False,2011,False,False,2450000.0,Jason,Vargas,MLBTR
Jason Bartlett,Padres,5.086,True,2011,False,False,,Jason,Bartlett,MLBTR
Jason Hammel,Rockies,3.153,True,2011,False,False,,Jason,Hammel,MLBTR
Jason Repko,Twins,3.168,False,2011,False,False,600000.0,Jason,Repko,MLBTR
Javier Lopez,Giants,5.167,False,2011,False,False,2375000.0,Javier,Lopez,MLBTR
Jay Bruce,Reds,2.125,True,2011,False,False,,Jay,Bruce,MLBTR
Jeff Mathis,Angels,4.012,False,2011,False,False,1700000.0,Jeff,Mathis,MLBTR
Jeff Keppinger,Astros,4.052,False,2011,False,False,2300000.0,Jeff,Keppinger,MLBTR
Jeff Baker,Cubs,4.049,False,2011,False,False,1175000.0,Jeff,Baker,MLBTR
Jeff Karstens,Pirates,3.132,False,2011,False,False,1100000.0,Jeff,Karstens,MLBTR
Jensen Lewis,Indians,2.133,False,2011,False,False,650000.0,Jensen,Lewis,MLBTR
Jered Weaver ,Angels,4.129,False,2011,False,False,7365000.0,Jered,Weaver ,MLBTR
Jeremy Guthrie,Orioles,4.13,False,2011,False,False,5750000.0,Jeremy,Guthrie,MLBTR
Jesse Litsch,Blue Jays,3.098,False,2011,False,False,830000.0,Jesse,Litsch,MLBTR
Jesus Flores,Nationals,3.158,False,2011,False,False,750000.0,Jesus,Flores,MLBTR
Jim Johnson,Orioles,2.165,False,2011,False,False,975000.0,Jim,Johnson,MLBTR
Joba Chamberlain,Yankees,3.055,False,2011,False,False,1400000.0,Joba,Chamberlain,MLBTR
Joe Saunders,Diamondbacks,4.013,False,2011,False,False,5500000.0,Joe,Saunders,MLBTR
Joe Smith,Indians,3.091,False,2011,False,False,870000.0,Joe,Smith,MLBTR
Joel Hanrahan,Pirates,3.065,False,2011,False,False,1400000.0,Joel,Hanrahan,MLBTR
Joel Zumaya,Tigers,5.0,False,2011,False,False,1400000.0,Joel,Zumaya,MLBTR
Joey Devine,Athletics,3.171,False,2011,False,False,560000.0,Joey,Devine,MLBTR
Joey Votto,Reds,3.027,True,2011,False,False,,Joey,Votto,MLBTR
John Lannan,Nationals,3.011,False,2011,False,False,2750000.0,John,Lannan,MLBTR
John Danks,White Sox,4.0,False,2011,False,False,6000000.0,John,Danks,MLBTR
Johnny Cueto,Reds,3.0,True,2011,False,False,,Johnny,Cueto,MLBTR
Jonathan Sanchez,Giants,4.071,False,2011,False,False,4800000.0,Jonathan,Sanchez,MLBTR
Jonathan Papelbon,Red Sox,5.064,False,2011,False,False,12000000.0,Jonathan,Papelbon,MLBTR
Jose Bautista,Blue Jays,5.165,True,2011,False,False,,Jose,Bautista,MLBTR
Jose Lopez,Rockies,5.14,False,2011,False,False,3600000.0,Jose,Lopez,MLBTR
Josh Willingham,Athletics,5.123,False,2011,False,False,6000000.0,Josh,Willingham,MLBTR
Josh Wilson,Mariners,3.047,False,2011,False,False,725000.0,Josh,Wilson,MLBTR
Josh Hamilton,Rangers,4.0,True,2011,False,False,,Josh,Hamilton,MLBTR
Kameron Loe,Brewers,3.133,False,2011,False,False,1250000.0,Kameron,Loe,MLBTR
Kelly Johnson,Diamondbacks,5.127,False,2011,False,False,5850000.0,Kelly,Johnson,MLBTR
Kendrys Morales,Angels,3.057,False,2011,False,False,2975000.0,Kendrys,Morales,MLBTR
Kevin Kouzmanoff,Athletics,4.03,False,2011,False,False,4750000.0,Kevin,Kouzmanoff,MLBTR
Kevin Slowey,Twins,3.063,False,2011,False,False,2700000.0,Kevin,Slowey,MLBTR
Koyie Hill,Cubs,4.006,False,2011,False,False,850000.0,Koyie,Hill,MLBTR
Kyle McClellan,Cardinals,3.0,False,2011,False,False,1375000.0,Kyle,McClellan,MLBTR
Kyle Kendrick,Phillies,2.159,False,2011,False,False,2450000.0,Kyle,Kendrick,MLBTR
Kyle Davies,Royals,5.012,False,2011,False,False,3200000.0,Kyle,Davies,MLBTR
Leo Nunez,Marlins,4.108,False,2011,False,False,3650000.0,Leo,Nunez,MLBTR
Luke Scott,Orioles,4.144,False,2011,False,False,6400000.0,Luke,Scott,MLBTR
Luke Hochevar,Royals,2.151,False,2011,False,False,1760000.0,Luke,Hochevar,MLBTR
Manny Parra,Brewers,3.063,False,2011,False,False,1200000.0,Manny,Parra,MLBTR
Mark Lowe,Rangers,4.087,False,2011,False,False,1200000.0,Mark,Lowe,MLBTR
Martin Prado,Braves,3.105,False,2011,False,False,3100000.0,Martin,Prado,MLBTR
Matt Garza,Cubs,3.149,False,2011,False,False,5950000.0,Matt,Garza,MLBTR
Matt Lindstrom,Rockies,4.0,True,2011,False,False,,Matt,Lindstrom,MLBTR
Matt Belisle,Rockies,5.019,False,2011,False,False,2350000.0,Matt,Belisle,MLBTR
Matt Capps,Twins,5.017,False,2011,False,False,7150000.0,Matt,Capps,MLBTR
"Melvin Upton, Jr.",Rays,4.126,False,2011,False,False,4825000.0,Melvin,"Upton, Jr.",MLBTR
Michael Bourn,Astros,4.028,False,2011,False,False,4400000.0,Michael,Bourn,MLBTR
Miguel Montero,Diamondbacks,4.031,False,2011,False,False,3200000.0,Miguel,Montero,MLBTR
Mike Napoli,Rangers,4.151,False,2011,False,False,5800000.0,Mike,Napoli,MLBTR
Mike Fontenot,Giants,3.139,False,2011,False,False,1050000.0,Mike,Fontenot,MLBTR
Mike Pelfrey,Mets,3.122,False,2011,False,False,3925000.0,Mike,Pelfrey,MLBTR
Mike Morse,Nationals,3.114,False,2011,False,False,1500000.0,Mike,Morse,MLBTR
Mike Adams,Padres,4.019,False,2011,False,False,2535000.0,Mike,Adams,MLBTR
Nelson Figueroa,Astros,3.16,False,2011,False,False,900000.0,Nelson,Figueroa,MLBTR
Nelson Cruz,Rangers,3.082,False,2011,False,False,3650000.0,Nelson,Cruz,MLBTR
Pat Neshek,Twins,4.005,False,2011,False,False,625000.0,Pat,Neshek,MLBTR
Peter Moylan,Braves,4.061,False,2011,False,False,2000000.0,Peter,Moylan,MLBTR
Phil Hughes,Yankees,3.113,False,2011,False,False,2700000.0,Phil,Hughes,MLBTR
Prince Fielder,Brewers,5.068,False,2011,False,False,15500000.0,Prince,Fielder,MLBTR
R.A. Dickey,Mets,5.007,True,2011,False,False,,R.A.,Dickey,MLBTR
Rafael Perez,Indians,3.157,False,2011,False,False,1330000.0,Rafael,Perez,MLBTR
Rajai Davis,Blue Jays,3.167,True,2011,False,False,,Rajai,Davis,MLBTR
Ramon Ramirez,Giants,4.113,False,2011,False,False,1650000.0,Ramon,Ramirez,MLBTR
Reggie Willits,Angels,4.0,False,2011,False,False,775000.0,Reggie,Willits,MLBTR
Rickie Weeks,Brewers,5.131,True,2011,False,False,,Rickie,Weeks,MLBTR
Ricky Nolasco,Marlins,4.142,True,2011,False,False,,Ricky,Nolasco,MLBTR
Robinson Tejeda,Royals,4.102,False,2011,False,False,1550000.0,Robinson,Tejeda,MLBTR
Ronny Cedeno,Pirates,5.029,False,2011,False,False,1850000.0,Ronny,Cedeno,MLBTR
Ross Ohlendorf ,Pirates,2.139,False,2011,False,False,2025000.0,Ross,Ohlendorf ,MLBTR
Ryan Sweeney,Athletics,3.053,False,2011,False,False,1400000.0,Ryan,Sweeney,MLBTR
Ryan Theriot,Cardinals,4.118,False,2011,False,False,3300000.0,Ryan,Theriot,MLBTR
Ryan Ludwick,Padres,5.109,False,2011,False,False,6775000.0,Ryan,Ludwick,MLBTR
Ryan Raburn,Tigers,3.109,True,2011,False,False,,Ryan,Raburn,MLBTR
Santiago Casilla,Giants,3.148,False,2011,False,False,1300000.0,Santiago,Casilla,MLBTR
Scott Proctor,Braves,5.043,False,2011,False,False,750000.0,Scott,Proctor,MLBTR
Sean Marshall,Cubs,4.088,True,2011,False,False,,Sean,Marshall,MLBTR
Sean Burnett,Nationals,4.085,True,2011,False,False,,Sean,Burnett,MLBTR
Sergio Mitre,Yankees,5.132,False,2011,False,False,900000.0,Sergio,Mitre,MLBTR
Shaun Marcum,Brewers,4.128,False,2011,False,False,3950000.0,Shaun,Marcum,MLBTR
Shawn Camp,Blue Jays,5.17,False,2011,False,False,2250000.0,Shawn,Camp,MLBTR
Shin-Soo Choo,Indians,3.119,False,2011,False,False,3975000.0,Shin-Soo,Choo,MLBTR
Stephen Drew,Diamondbacks,4.079,True,2011,False,False,,Stephen,Drew,MLBTR
Tim Stauffer,Padres,3.007,False,2011,False,False,1075000.0,Tim,Stauffer,MLBTR
Tom Gorzelanny,Nationals,3.16,False,2011,False,False,2100000.0,Tom,Gorzelanny,MLBTR
Tony Pena,White Sox,4.076,False,2011,False,False,1600000.0,Tony,Pena,MLBTR
Wandy Rodriguez,Astros,5.105,True,2011,False,False,,Wandy,Rodriguez,MLBTR
Wil Ledezma,Pirates,4.145,False,2011,False,False,700000.0,Wil,Ledezma,MLBTR
Wilson Betemit,Royals,5.107,False,2011,False,False,1000000.0,Wilson,Betemit,MLBTR
Yunel Escobar,Blue Jays,3.121,False,2011,False,False,2900000.0,Yunel,Escobar,MLBTR
Zach Duke,Diamondbacks,5.094,False,2011,False,False,3500000.0,Zach,Duke,MLBTR
Adam Rosales,Athletics,2.171,False,2012,False,False,600000.0,Adam,Rosales,MLBTR
Adam Jones,Orioles,4.139,False,2012,False,False,6150000.0,Adam,Jones,MLBTR
Alberto Callaspo,Angels,4.135,False,2012,False,False,3150000.0,Alberto,Callaspo,MLBTR
Alex Gordon,Royals,4.092,False,2012,False,False,4775000.0,Alex,Gordon,MLBTR
Alexi Casilla,Twins,4.038,False,2012,False,False,1383000.0,Alexi,Casilla,MLBTR
Alfredo Aceves,Red Sox,3.001,False,2012,False,False,1200000.0,Alfredo,Aceves,MLBTR
Andre Ethier,Dodgers,5.153,False,2012,False,False,10950000.0,Andre,Ethier,MLBTR
Andres Torres,Mets,4.115,False,2012,False,False,2700000.0,Andres,Torres,MLBTR
Andrew Miller,Red Sox,3.062,False,2012,False,False,1040000.0,Andrew,Miller,MLBTR
Andrew Bailey,Red Sox,3.0,False,2012,False,False,3900000.0,Andrew,Bailey,MLBTR
Angel Pagan,Giants,5.144,False,2012,False,False,4850000.0,Angel,Pagan,MLBTR
Anibal Sanchez ,Marlins,5.099,False,2012,False,False,8000000.0,Anibal,Sanchez ,MLBTR
Asdrubal Cabrera,Indians,4.027,False,2012,False,False,4550000.0,Asdrubal,Cabrera,MLBTR
Ben Francisco,Blue Jays,4.049,False,2012,False,False,1538000.0,Ben,Francisco,MLBTR
Bill Bray,Reds,4.018,False,2012,False,False,1417000.0,Bill,Bray,MLBTR
Blake DeWitt,Cubs,3.048,False,2012,False,False,1100000.0,Blake,DeWitt,MLBTR
Boone Logan,Yankees,4.14,False,2012,False,False,1875000.0,Boone,Logan,MLBTR
Brad Ziegler,Diamondbacks,3.122,False,2012,False,False,1795000.0,Brad,Ziegler,MLBTR
Brad Bergesen ,Orioles,2.147,False,2012,False,False,800000.0,Brad,Bergesen ,MLBTR
Brandon McCarthy,Athletics,5.122,False,2012,False,False,4275000.0,Brandon,McCarthy,MLBTR
Brandon Morrow,Blue Jays,4.091,True,2012,False,False,,Brandon,Morrow,MLBTR
Brandon League,Mariners,5.145,False,2012,False,False,5000000.0,Brandon,League,MLBTR
Brayan Pena,Royals,4.081,False,2012,False,False,875000.0,Brayan,Pena,MLBTR
Brett Gardner,Yankees,3.072,False,2012,False,False,2800000.0,Brett,Gardner,MLBTR
Burke Badenhop,Rays,3.116,False,2012,False,False,1075000.0,Burke,Badenhop,MLBTR
Carlos Villanueva,Blue Jays,5.03,False,2012,False,False,2277000.0,Carlos,Villanueva,MLBTR
