Player,Year,Team,Position,Service,Next Year Salary,Source,Extension,Non-Tendered,Outrighted,first_name,last_name
Corbin Burnes,2023,MIL,rhp-s,4.049,10010000.0,Cots,False,False,False,Corbin,Burnes
Pete Alonso,2023,NYN,1b,4.0,14500000.0,Cots,False,,,Pete,Alonso
Dylan Cease,2023,CHA,rhp,3.089,5700000.0,Cots,False,,,Dylan,Cease
Christian Walker,2023,ARI,1b,4.124,6500000.0,Cots,False,,,Christian,Walker
Zac Gallen,2023,ARI,rhp-s,3.1,5600000.0,Cots,False,,,Zac,Gallen
Vladimir Guerrero Jr.,2023,TOR,3b,3.157,14500000.0,Cots,False,,,Vladimir,Guerrero Jr.
Will Smith,2023,LAN,c,3.09,5250000.0,Cots,False,,,Will,Smith
Kyle Tucker,2023,HOU,of,3.079,5000000.0,Cots,False,False,False,Kyle,Tucker
Sean Murphy,2023,ATL,c,3.029,,Cots,True,False,False,Sean,Murphy
Taylor Ward,2023,ANA,3b,2.164,2750000.0,Cots,False,,,Taylor,Ward
Shane Bieber,2023,CLE,rhp-s,4.097,10010000.0,Cots,False,,,Shane,Bieber
Rafael Devers,2023,BOS,3b,5.07,17500000.0,Cots,False,,,Rafael,Devers
Brandon Woodruff,2023,MIL,rhp-s,4.161,10800000.0,Cots,False,,,Brandon,Woodruff
Jeff McNeil,2023,NYN,2b,4.069,,Cots,True,False,False,Jeff,McNeil
Anthony Santander,2023,BAL,rf,4.162,7400000.0,Cots,False,,,Anthony,Santander
Jose Trevino,2023,NYA,c,3.063,2360000.0,Cots,False,,,Jose,Trevino
Max Fried,2023,ATL,lhp-s,4.148,13500000.0,Cots,False,False,False,Max,Fried
Shohei Ohtani,2023,ANA,rhp-s,5.0,30000000.0,Cots,False,,,Shohei,Ohtani
Cristian Javier,2023,HOU,rhp-s,3.0,,Cots,True,False,False,Cristian,Javier
Yandy Díaz,2023,TBA,3b,4.122,,Cots,True,False,False,Yandy,Díaz
Luis Arraez,2023,MIA,2b,3.121,6100000.0,Cots,False,False,False,Luis,Arraez
Framber Valdez,2023,HOU,lhp,3.163,6800000.0,Cots,False,,,Framber,Valdez
Ian Happ,2023,CHN,cf,5.036,10850000.0,Cots,False,,,Ian,Happ
Nico Hoerner,2023,CHN,2b,3.014,2525000.0,Cots,False,,,Nico,Hoerner
Juan Soto,2023,SDN,lf,4.134,23000000.0,Cots,False,,,Juan,Soto
Bo Bichette,2023,TOR,ss,3.063,,Cots,True,False,False,Bo,Bichette
Teoscar Hernández,2023,SEA,lf,5.097,14000000.0,Cots,False,False,False,Teoscar,Hernández
Gleyber Torres,2023,NYA,ss,4.162,9950000.0,Cots,False,False,False,Gleyber,Torres
Cedric Mullins,2023,BAL,cf,3.078,4100000.0,Cots,False,,,Cedric,Mullins
Brady Singer,2023,KCA,rhp-s,2.156,2950000.0,Cots,False,False,False,Brady,Singer
Brendan Rodgers,2023,COL,ss,3.075,2700000.0,Cots,False,,,Brendan,Rodgers
Amed Rosario,2023,CLE,ss-of,5.062,7800000.0,Cots,False,,,Amed,Rosario
Daulton Varsho,2023,TOR,c,2.128,3050000.0,Cots,False,,,Daulton,Varsho
Logan Webb,2023,SFN,rhp-s,3.044,4600000.0,Cots,False,,,Logan,Webb
Tommy Edman,2023,SLN,2b,3.114,4200000.0,Cots,False,,,Tommy,Edman
Nathaniel Lowe,2023,TEX,1b,2.145,4050000.0,Cots,False,,,Nathaniel,Lowe
Rhys Hoskins,2023,PHI,1b,5.053,12000000.0,Cots,False,,,Rhys,Hoskins
Hunter Renfroe,2023,ANA,rf,5.165,11900000.0,Cots,False,False,False,Hunter,Renfroe
Pablo López,2023,MIA,rhp-s,4.093,5450000.0,Cots,False,,,Pablo,López
Julio Urias,2023,LAN,lhp-s,5.117,14250000.0,Cots,False,,,Julio,Urias
Ty France,2023,SEA,3b,3.089,4100000.0,Cots,False,,,Ty,France
Nestor Cortes,2023,NYA,lhp-s,3.094,3200000.0,Cots,False,,,Nestor,Cortes
Jeffrey Springs,2023,TBA,lhp,4.055,,Cots,True,False,False,Jeffrey,Springs
Willy Adames,2023,MIL,ss,4.105,8700000.0,Cots,False,,,Willy,Adames
Austin Hays,2023,BAL,lf,3.057,3200000.0,Cots,False,,,Austin,Hays
Tony Gonsolin,2023,LAN,rhp-s,2.152,,Cots,True,False,False,Tony,Gonsolin
Luis Rengifo,2023,ANA,2b,3.043,2300000.0,Cots,False,False,False,Luis,Rengifo
Giovanny Urshela,2023,ANA,3b,5.127,8400000.0,Cots,False,False,False,Giovanny,Urshela
Randy Arozarena,2023,TBA,lf,2.129,4150000.0,Cots,False,,,Randy,Arozarena
Rowdy Tellez,2023,MIL,1b,4.004,4950000.0,Cots,False,,,Rowdy,Tellez
Jake Cronenworth,2023,SDN,lf-rhp,3.0,4225000.0,Cots,False,,,Jake,Cronenworth
Patrick Sandoval,2023,ANA,lhp,2.149,2750000.0,Cots,False,,,Patrick,Sandoval
Alex Verdugo,2023,BOS,of,4.078,6300000.0,Cots,False,,,Alex,Verdugo
Danny Jansen,2023,TOR,c,4.05,3500000.0,Cots,False,,,Danny,Jansen
A.J. Minter,2023,ATL,lhp,4.154,4287500.0,Cots,False,,,A.J.,Minter
Tomás Nido,2023,NYN,c,4.089,1575000.0,Cots,False,,,Tomás,Nido
Lane Thomas,2023,WAS,rf,3.014,2200000.0,Cots,False,,,Lane,Thomas
Thairo Estrada,2023,SFN,2b-ss,2.169,2250000.0,Cots,False,,,Thairo,Estrada
Luis Urías,2023,MIL,2b-ss,3.12,4700000.0,Cots,False,,,Luis,Urías
Kyle Higashioka,2023,NYA,c,4.005,1462500.0,Cots,False,,,Kyle,Higashioka
Devin Williams,2023,MIL,rhp,3.056,3350000.0,Cots,False,,,Devin,Williams
Jesus Lúzardo,2023,MIA,lhp-s,2.165,2450000.0,Cots,False,False,False,Jesus,Lúzardo
Ryan Helsley,2023,SLN,rhp,3.105,2150000.0,Cots,False,False,False,Ryan,Helsley
Victor Caratini,2023,MIL,c,5.051,2800000.0,Cots,False,,,Victor,Caratini
Mike Yastrzemski,2023,SFN,of,3.128,6100000.0,Cots,False,,,Mike,Yastrzemski
Scott Barlow,2023,KCA,rhp,4.03,5300000.0,Cots,False,,,Scott,Barlow
José Alvarado,2023,PHI,lhp,5.082,3450000.0,Cots,False,False,False,José,Alvarado
Nick Pivetta,2023,BOS,rhp-s,4.166,5350000.0,Cots,False,,,Nick,Pivetta
Tyler Mahle,2023,MIN,rhp-s,5.018,7500000.0,Cots,False,,,Tyler,Mahle
Tony Kemp,2023,OAK,2b-of,5.098,3725000.0,Cots,False,,,Tony,Kemp
Joe Jiménez,2023,ATL,rhp,5.061,2765000.0,Cots,False,,,Joe,Jiménez
Caleb Thielbar,2023,MIN,lhp,4.131,2400000.0,Cots,False,,,Caleb,Thielbar
Evan Phillips,2023,LAN,rhp,2.136,1300000.0,Cots,False,,,Evan,Phillips
Jason Adam,2023,TBA,rhp,2.132,1775000.0,Cots,False,False,False,Jason,Adam
Victor Robles,2023,WAS,cf,4.033,,Cots,False,False,False,Victor,Robles
Santiago Espinal,2023,TOR,2b,2.149,2100000.0,Cots,False,,,Santiago,Espinal
Josh Naylor,2023,CLE,lf-1b,3.127,3350000.0,Cots,False,,,Josh,Naylor
Luis Guillorme,2023,NYN,inf,3.167,1600000.0,Cots,False,,,Luis,Guillorme
Isiah Kiner-Falefa,2023,NYA,ss,5.0,6000000.0,Cots,False,,,Isiah,Kiner-Falefa
Jordan Luplow,2023,ARI,of,4.108,,Cots,False,True,False,Jordan,Luplow
Emilio Pagán,2023,MIN,rhp,5.091,3500000.0,Cots,False,,,Emilio,Pagán
Reynaldo López,2023,CHA,rhp-s,5.004,3625000.0,Cots,False,,,Reynaldo,López
Michael King,2023,NYA,rhp,3.004,1300000.0,Cots,False,,,Michael,King
Erik Swanson,2023,TOR,rhp,3.096,1250000.0,Cots,False,,,Erik,Swanson
Jakob Junis,2023,SFN,rhp-s,5.002,2800000.0,Cots,False,,,Jakob,Junis
Paul Sewald,2023,SEA,rhp,4.072,4100000.0,Cots,False,,,Paul,Sewald
Jordan Romano,2023,TOR,rhp,3.051,4537500.0,Cots,False,,,Jordan,Romano
Kyle Farmer,2023,MIN,inf,4.129,5585000.0,Cots,False,,,Kyle,Farmer
