Player,Team,Service,Extension,Year,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source,Salary,Salary Diff
Adam Jones,Orioles,3.139,False,2011,False,False,3250000.0,Adam,Jones,MLBTR,465000.0,2785000.0
Alberto Callaspo,Angels,3.135,False,2011,False,False,2000000.0,Alberto,Callaspo,MLBTR,460000.0,1540000.0
Alberto Gonzalez,Nationals,2.135,False,2011,False,False,600000.0,Alberto,Gonzalez,MLBTR,415500.0,184500.0
Alex Gordon,Royals,3.092,False,2011,False,False,1400000.0,Alex,Gordon,MLBTR,1150000.0,250000.0
Alexi Casilla,Twins,3.038,False,2011,False,False,865000.0,Alexi,Casilla,MLBTR,437500.0,427500.0
Andres Torres,Giants,3.115,False,2011,False,False,2100000.0,Andres,Torres,MLBTR,426000.0,1674000.0
Andy Sonnanstine,Rays,3.066,False,2011,False,False,912000.0,Andy,Sonnanstine,MLBTR,416900.0,495100.0
Angel Pagan,Mets,4.144,False,2011,False,False,3500000.0,Angel,Pagan,MLBTR,1450000.0,2050000.0
Anibal Sanchez,Marlins,4.099,False,2011,False,False,3700000.0,Anibal,Sanchez,MLBTR,1250000.0,2450000.0
Armando Galarraga,Tigers,2.148,False,2011,False,False,2300000.0,Armando,Galarraga,MLBTR,,
Asdrubal Cabrera,Indians,3.027,False,2011,False,False,2025000.0,Asdrubal,Cabrera,MLBTR,444600.0,1580400.0
Ben Francisco,Phillies,3.049,False,2011,False,False,1175000.0,Ben,Francisco,MLBTR,470000.0,705000.0
Bill Bray,Reds,3.018,False,2011,False,False,645000.0,Bill,Bray,MLBTR,,
Billy Butler,Royals,3.102,True,2011,False,False,,Billy,Butler,MLBTR,470000.0,
Boone Logan,Yankees,3.14,False,2011,False,False,1200000.0,Boone,Logan,MLBTR,,
Brad Ziegler,Athletics,2.122,False,2011,False,False,1250000.0,Brad,Ziegler,MLBTR,410000.0,840000.0
Brandon Morrow,Blue Jays,3.091,False,2011,False,False,2300000.0,Brandon,Morrow,MLBTR,409800.0,1890200.0
Brandon League,Mariners,4.145,False,2011,False,False,2250000.0,Brandon,League,MLBTR,1087500.0,1162500.0
Brayan Pena,Royals,3.081,False,2011,False,False,660000.0,Brayan,Pena,MLBTR,428000.0,232000.0
Brendan Ryan,Mariners,3.082,True,2011,False,False,,Brendan,Ryan,MLBTR,425000.0,
Burke Badenhop,Marlins,2.143,False,2011,False,False,750000.0,Burke,Badenhop,MLBTR,407500.0,342500.0
C.J. Wilson,Rangers,5.055,False,2011,False,False,7050000.0,C.J.,Wilson,MLBTR,3100000.0,3950000.0
Carlos Gomez,Brewers,3.141,False,2011,False,False,1500000.0,Carlos,Gomez,MLBTR,1100000.0,400000.0
Carlos Villanueva,Blue Jays,4.03,False,2011,False,False,1415000.0,Carlos,Villanueva,MLBTR,950000.0,465000.0
Carlos Marmol,Cubs,4.084,True,2011,False,False,,Carlos,Marmol,MLBTR,2125000.0,
Carlos Quentin,White Sox,4.065,False,2011,False,False,5050000.0,Carlos,Quentin,MLBTR,3200000.0,1850000.0
Casey Janssen,Blue Jays,4.063,False,2011,False,False,1095000.0,Casey,Janssen,MLBTR,700000.0,395000.0
