Player,Position,Salary,Year
"Brown, Kevin",rhp,"$15,000,000 ",2000.0
"Johnson, Randy",lhp-s,"$13,350,000 ",2000.0
"Belle, Albert",of,"$12,868,670 ",2000.0
"Williams, Bernie",of,"$12,357,143 ",2000.0
"Walker, Larry",of,"$12,142,857 ",2000.0
"Piazza, Mike",c,"$12,071,429 ",2000.0
"Cone, David",rhp,"$12,000,000 ",2000.0
"Martinez, Pedro J.",rhp,"$11,500,000 ",2000.0
"Vaughn, Mo",1b,"$11,166,667 ",2000.0
"Maddux, Greg",rhp,"$11,100,000 ",2000.0
"Sosa, Sammy",of,"$11,000,000 ",2000.0
"Bonds, Barry",of,"$10,658,826 ",2000.0
"Jeter, Derek",ss,"$10,000,000 ",2000.0
"Mondesi, Raul",of,"$10,000,000 ",2000.0
"Sheffield, Gary",rf,"$9,916,667 ",2000.0
"Glavine, Tom",lhp-s,"$9,463,237 ",2000.0
"Green, Shawn",of,"$9,416,667 ",2000.0
"McGwire, Mark",1b,"$9,333,333 ",2000.0
"Griffey Jr., Ken",dh-rf,"$9,329,700 ",2000.0
"Alvarez, Wilson",sp,"$9,000,000 ",2000.0
"Palmiero, Rafael",1b,"$8,620,921 ",2000.0
"Rodriguez, Ivan",c,"$8,600,000 ",2000.0
"Galarraga, Andres",1b,"$8,500,000 ",2000.0
"Smoltz, John",rhp-s,"$8,500,000 ",2000.0
"Williams, Matt",3b,"$8,500,000 ",2000.0
"Stottlemyre, Todd",rhp,"$8,000,000 ",2000.0
"Ventura, Robin",mgr,"$8,000,000 ",2000.0
"Finley, Chuck",lhp,"$7,911,948 ",2000.0
"Leiter, Al",lhp,"$7,750,000 ",2000.0
"Jordan, Brian",of,"$7,600,000 ",2000.0
"Lankford, Ray",of,"$7,600,000 ",2000.0
"Gonzalez, Juan",of,"$7,500,000 ",2000.0
"Lofton, Kenny",of,"$7,500,000 ",2000.0
"Rogers, Kenny",lhp,"$7,500,000 ",2000.0
"Sele, Aaron",rhp,"$7,500,000 ",2000.0
"Rivera, Mariano",rhp,"$7,250,000 ",2000.0
"Alomar, Roberto",2b,"$7,196,756 ",2000.0
"Anderson, Brady",of,"$7,127,199 ",2000.0
"Thomas, Frank",dh,"$7,100,000 ",2000.0
"Vaughn, Greg",of-dh,"$7,097,962 ",2000.0
"Justice, David",of,"$7,000,000 ",2000.0
"Pettitte, Andy",lhp-s,"$7,000,000 ",2000.0
"Thome, Jim",dh,"$7,000,000 ",2000.0
"Mussina, Mike",rhp,"$6,786,032 ",2000.0
"Biggio, Craig",of,"$6,750,000 ",2000.0
"Reynolds, Shane",sp,"$6,666,667 ",2000.0
"Erickson, Scott",rhp,"$6,620,921 ",2000.0
"Delgado, Carlos",1b,"$6,600,000 ",2000.0
"Hoffman, Trevor",rhp,"$6,600,000 ",2000.0
"Bagwell, Jeff",1b,"$6,500,000 ",2000.0
"O'Neill, Paul",of,"$6,500,000 ",2000.0
"Astacio, Pedro",rhp,"$6,350,000 ",2000.0
"Clemens, Roger",rhp,"$6,350,000 ",2000.0
"Olerud, John",1b,"$6,350,000 ",2000.0
"Gwynn, Tony",of,"$6,300,000 ",2000.0
"Ripken Jr., Cal",3b,"$6,300,000 ",2000.0
"Castilla, Vinny",3b,"$6,250,000 ",2000.0
"Lopez, Javy",c,"$6,250,000 ",2000.0
"Hundley, Todd",c,"$6,125,000 ",2000.0
"Hitchcock, Sterling",sp,"$6,100,000 ",2000.0
"Hentgen, Pat",sp,"$6,000,000 ",2000.0
"Hernandez, Roberto",rhp,"$6,000,000 ",2000.0
"Kent, Jeff",2b,"$6,000,000 ",2000.0
"Knoblauch, Chuck",2b-of,"$6,000,000 ",2000.0
"Moyer, Jamie",lhp-s,"$6,000,000 ",2000.0
"Salmon, Tim",of,"$6,000,000 ",2000.0
"McGriff, Fred",1b,"$5,945,818 ",2000.0
"Ashby, Andy",sp,"$5,900,000 ",2000.0
"Hampton, Mike",lhp-s,"$5,750,000 ",2000.0
"Klesko, Ryan",1b,"$5,750,000 ",2000.0
"Offerman, Jose",2b-1b,"$5,750,000 ",2000.0
"Valdez, Ismael",sp,"$5,737,500 ",2000.0
"Schilling, Curt",rhp,"$5,650,000 ",2000.0
"Daal, Omar",sp,"$5,625,000 ",2000.0
"Young, Kevin",1b,"$5,625,000 ",2000.0
"Appier, Kevin",rhp,"$5,600,000 ",2000.0
"Fryman, Travis",3b,"$5,550,000 ",2000.0
"Burks, Ellis",of,"$5,500,000 ",2000.0
"Nen, Robb",rhp,"$5,500,000 ",2000.0
"Wells, David",lhp,"$5,500,000 ",2000.0
"Eldred, Cal",rhp,"$5,400,000 ",2000.0
"Martinez, Edgar",dh,"$5,400,000 ",2000.0
"Finley, Steve",of,"$5,375,000 ",2000.0
"Karros, Eric",1b,"$5,375,000 ",2000.0
"Grace, Mark",1b,"$5,300,000 ",2000.0
"Larkin, Barry",ss,"$5,300,000 ",2000.0
"Alou, Moises",of,"$5,250,000 ",2000.0
"Lima, Jose",rhp,"$5,032,444 ",2000.0
"Burba, Dave",sp,"$5,000,000 ",2000.0
"Grissom, Marquis",of,"$5,000,000 ",2000.0
"Oliver, Darren",lhp,"$5,000,000 ",2000.0
"Durham, Ray",2b,"$4,900,000 ",2000.0
"Lieberthal, Mike",c,"$4,833,333 ",2000.0
"Martinez, Tino",1b,"$4,800,000 ",2000.0
"Jones, Chipper",3b,"$4,750,000 ",2000.0
"Neagle, Denny",lhp,"$4,750,000 ",2000.0
"Snow, J.T.",1b,"$4,750,000 ",2000.0
"Johnson, Charles",c,"$4,600,000 ",2000.0
"Williams, Woody",rhp,"$4,583,333 ",2000.0
"Caminiti, Ken",3b,"$4,500,000 ",2000.0
"Clayton, Royce",ss,"$4,500,000 ",2000.0
"Edmonds, Jim",of,"$4,500,000 ",2000.0
"Floyd, Cliff",lf,"$4,500,000 ",2000.0
"Saberhagen, Bret",rhp,"$4,500,000 ",2000.0
"Wakefield, Tim",rhp-s,"$4,500,000 ",2000.0
"Young, Eric",2b,"$4,500,000 ",2000.0
"Burnitz, Jeromy",of,"$4,462,500 ",2000.0
"Higginson, Bobby",of,"$4,425,000 ",2000.0
"Rodriguez, Alex",3b,"$4,362,500 ",2000.0
"Zeile, Todd",1b-3b,"$4,333,333 ",2000.0
"Segui, David",1b,"$4,325,000 ",2000.0
"Ramirez, Manny",lf-dh,"$4,250,000 ",2000.0
"Timlin, Mike",rhp,"$4,250,000 ",2000.0
"Alfonzo, Edgardo",2b,"$4,225,000 ",2000.0
"Brogna, Rico",1b,"$4,200,000 ",2000.0
"Surhoff, B.J.",of,"$4,146,789 ",2000.0
"Clark, Tony",1b,"$4,062,500 ",2000.0
"Ausmus, Brad",mgr,"$4,000,000 ",2000.0
"Damon, Johnny",lf,"$4,000,000 ",2000.0
"Rueter, Kirk",lhp,"$4,000,000 ",2000.0
"Sasaki, Kazuhiro",rhp,"$4,000,000 ",2000.0
"White, Rondell",of,"$4,000,000 ",2000.0
"Wilson, Dan",c,"$4,000,000 ",2000.0
"Easley, Damion",2b,"$3,950,000 ",2000.0
"Mesa, Jose",rhp,"$3,950,000 ",2000.0
"Park, Chan Ho",rhp,"$3,850,000 ",2000.0
"Lieber, Jon",p,"$3,833,333 ",2000.0
"Boone, Bret",2b,"$3,750,000 ",2000.0
"Gordon, Tom",rhp,"$3,750,000 ",2000.0
"Helling, Rick",sp,"$3,750,000 ",2000.0
"Dreifort, Darren",sp,"$3,700,000 ",2000.0
"Garciaparra, Nomar",3b-1b,"$3,700,000 ",2000.0
"Jones, Andruw",rf-lf,"$3,700,000 ",2000.0
"Sanders, Reggie",of,"$3,700,000 ",2000.0
"Jones, Todd",rhp,"$3,650,000 ",2000.0
"Hermanson, Dustin",p,"$3,633,333 ",2000.0
"Cirillo, Jeff",3b,"$3,600,000 ",2000.0
"Greer, Rusty",of,"$3,600,000 ",2000.0
"Beck, Rod",rp,"$3,500,000 ",2000.0
"Guerrero, Vladimir",rf-dh,"$3,500,000 ",2000.0
"Radke, Brad",sp,"$3,500,000 ",2000.0
"Vizcaino, Jose",inf,"$3,500,000 ",2000.0
"Benitez, Armando",rhp,"$3,437,500 ",2000.0
"Reynoso, Armando",rhp,"$3,375,000 ",2000.0
"Franco, John",rp,"$3,350,000 ",2000.0
"Gonzalez, Luis",of,"$3,333,333 ",2000.0
"Hernandez, Jose",3b,"$3,333,333 ",2000.0
"Baldwin, James",p,"$3,300,000 ",2000.0
"Anderson, Garret",lf,"$3,250,000 ",2000.0
"Anderson, Garret",lf,"$3,250,000 ",2000.0
"Urbina, Ugueth",rhp,"$3,200,000 ",2000.0
"Wagner, Billy",lhp,"$3,200,000 ",2000.0
"Hammonds, Jeffrey",of,"$3,183,333 ",2000.0
"Giambi, Jason",dh-1b,"$3,103,333 ",2000.0
"Stairs, Matt",lf-rf,"$3,050,000 ",2000.0
"Gonzalez, Alex S.",3b-ss,"$3,025,000 ",2000.0
"Thompson, Justin",sp,"$3,025,000 ",2000.0
"Bordick, Mike",ss,"$3,000,000 ",2000.0
"Canseco, Jose",dh-of,"$3,000,000 ",2000.0
"Grudzielanek, Mark",ss-2b,"$3,000,000 ",2000.0
"Jackson, Mike",rp,"$3,000,000 ",2000.0
"Vizquel, Omar",ss-2b,"$3,000,000 ",2000.0
"Yoshii, Masato",p,"$3,000,000 ",2000.0
"Mulholland, Terry",lhp,"$2,975,000 ",2000.0
"Flaherty, John",c,"$2,947,410 ",2000.0
"Abreu, Bobby",rf,"$2,933,333 ",2000.0
"Benes, Andy",sp,"$2,867,542 ",2000.0
"Mantei, Matt",rp,"$2,831,000 ",2000.0
"Rhodes, Arthur",lhp,"$2,750,000 ",2000.0
"Rolen, Scott",3b,"$2,750,000 ",2000.0
"Schmidt, Jason",rhp-s,"$2,750,000 ",2000.0
"Alomar Jr., Sandy",c,"$2,700,000 ",2000.0
"Loaiza, Esteban",rhp,"$2,650,000 ",2000.0
"Gomez, Chris",inf,"$2,600,000 ",2000.0
"Conine, Jeff",of-1b,"$2,500,000 ",2000.0
"Erstad, Darin",1b-of,"$2,500,000 ",2000.0
"Fletcher, Darrin",c,"$2,500,000 ",2000.0
"Gutierrez, Ricky",ss,"$2,500,000 ",2000.0
"Loretta, Mark",2b-3b,"$2,500,000 ",2000.0
"Womack, Tony",of,"$2,500,000 ",2000.0
"Estes, Shawn",lhp,"$2,450,000 ",2000.0
"Cedeno, Roger",of,"$2,400,000 ",2000.0
"Stanton, Mike",lhp,"$2,400,000 ",2000.0
"Wickman, Bob",rhp,"$2,400,000 ",2000.0
"Williams, Gerald",of,"$2,373,439 ",2000.0
"Percival, Troy",rhp,"$2,350,000 ",2000.0
"Dye, Jermaine",rf,"$2,300,000 ",2000.0
"Sanchez, Rey",ss,"$2,300,000 ",2000.0
"Vina, Fernando",2b,"$2,300,000 ",2000.0
"Anderson, Brian",lhp,"$2,250,000 ",2000.0
"Kendall, Jason",c,"$2,250,000 ",2000.0
"Ordonez, Rey",ss,"$2,250,000 ",2000.0
