,0,1,2
0,"Alonso, Pete",14500000.0,4941284.2424641885
1,"Walker, Christian",6500000.0,5101330.731422615
2,"Smith, Will",5250000.0,5043599.614672362
3,"Tucker, Kyle",5000000.0,4888185.043681866
4,"Ward, Taylor",2750000.0,5019445.134530971
5,"Devers, Rafael",17500000.0,4967939.614647368
6,"Santander, Anthony",7400000.0,4877202.411325206
7,"Trevino, Jose",2360000.0,4526550.704228255
8,"Arraez, Luis",6100000.0,4871500.310211463
9,"Happ, Ian",10850000.0,5140088.631101675
10,"Hoerner, Nico",2525000.0,4880889.282419721
11,"Soto, Juan",23000000.0,5032370.608427383
12,"Torres, Gleyber",9950000.0,5017819.851610419
13,"Rodgers, Brendan",2700000.0,4838157.089493136
14,"Rosario, Amed",7800000.0,4934519.47144615
15,"Varsho, Daulton",3050000.0,5043402.903084315
16,"Edman, Tommy",4200000.0,4951650.269160191
17,"Lowe, Nathaniel",4050000.0,5055789.858429747
18,"Hoskins, Rhys",12000000.0,5178948.141541339
19,"Renfroe, Hunter",11900000.0,5034667.7673239
20,"France, Ty",4100000.0,4789002.320367914
21,"Adames, Willy",8700000.0,4967854.951907452
22,"Hays, Austin",3200000.0,4833754.74000124
23,"Arozarena, Randy",4150000.0,5046459.106813583
24,"Tellez, Rowdy",4950000.0,4877922.594917541
25,"Verdugo, Alex",6300000.0,4767479.402699322
26,"Jansen, Danny",3500000.0,4725859.974926363
27,"Thomas, Lane",2200000.0,4889100.419887188
28,"Estrada, Thairo",2250000.0,4905841.008326334
29,"Higashioka, Kyle",1462500.0,4387029.895058632
30,"Caratini, Victor",2800000.0,4554193.199481169
31,"Yastrzemski, Mike",6100000.0,5026316.816432341
32,"Kemp, Tony",3725000.0,4869807.029974728
33,"Espinal, Santiago",2100000.0,4721562.94578094
34,"Naylor, Josh",3350000.0,4889757.734004457
35,"Guillorme, Luis",1600000.0,4569055.881119333
36,"Kiner-Falefa, Isiah",6000000.0,4746156.362911306
37,"Farmer, Kyle",5585000.0,4772246.009488437
38,"Senzel, Nick",1950000.0,4511668.9119327245
39,"Rojas, Josh",2575000.0,4881767.344627784
40,"Ramirez, Harold",2200000.0,4742712.494116185
41,"Kelly, Carson",4275000.0,4514115.187392484
42,"Garver, Mitch",3900000.0,4647790.018038926
43,"Slater, Austin",3200000.0,5004264.588302676
44,"Madrigal, Nick",1225000.0,4310531.669218481
45,"Mateo, Jorge",2000000.0,4897887.050559028
46,"Laureano, Ramon",3550000.0,4698152.001908906
47,"Wendle, Joey",6000000.0,4612371.506741637
48,"Grisham, Trent",3175000.0,4884661.110213374
49,"Newman, Kevin",2662500.0,4745090.834949063
50,"Lopez, Nicky",3700000.0,4759592.941458805
51,"O'Neill, Tyler",4950000.0,4785537.19077997
52,"Arroyo, Christian",2000000.0,4606136.441857297
53,"Meadows, Austin",4300000.0,4597594.311173465
54,"Nola, Austin",2350000.0,4613438.425512301
55,"Cooper, Garrett",4200000.0,5117029.42708198
56,"Toro, Abraham",1250000.0,4338474.369880927
57,"Stallings, Jacob",3350000.0,4635033.624022184
58,"Hiura, Keston",2200000.0,4764384.673677297
59,"Brosseau, Mike",1400000.0,4709595.178276158
60,"Biggio, Cavan",2800000.0,4645100.011906678
61,"McGuire, Reese",1225000.0,4437855.553728873
62,"Mondesi, Adalberto",3045000.0,4478821.050672954
63,"Murphy, Tom",1625000.0,4806231.72279192
64,"Sosa, Edmundo",950000.0,4627294.222897533
65,"Lewis, Kyle",1610000.0,4329116.862542452
66,"Davis, J.D.",4210000.0,4906626.692997884
67,"Knizner, Andrew",1100000.0,4356877.18504973
68,"O'Hearn, Ryan",1400000.0,4531747.730013982
69,"Choi, Ji-Man",4650000.0,4964407.531077668
70,"Walsh, Jared",2650000.0,4891167.711287897
