,0,1
0,"Soto, Juan",4940726.301001944
1,"Tucker, Kyle",4993150.738143642
2,"Guerrero Jr., Vladimir",4977889.72259042
3,"Arraez, Luis",4969222.62724719
4,"Heim, Jonah",4803397.689270454
5,"Alonso, Pete",5088303.201769657
6,"Torres, Gleyber",5045962.470637098
7,"Kirk, Alejandro",4573457.9504609825
8,"Verdugo, Alex",4939749.10232335
9,"Smith, Will",5026563.27488397
10,"Arozarena, Randy",5110942.010080445
11,"Bohm, Alec",4815214.181649868
12,"Walker, Christian",5052859.82239565
13,"Adames, Willy",5036634.198388046
14,"Rengifo, Luis",4979805.37630573
15,"Vaughn, Andrew",4820111.706490233
16,"Naylor, Josh",4951846.210709151
17,"Thomas, Lane",5110540.888098277
18,"Wade Jr., LaMonte",4976932.15154176
19,"Edman, Tommy",4869028.1466024425
20,"Vargas, Ildemaro",4526843.432994205
21,"India, Jonathan",4807734.250590209
22,"Rogers, Jake",4691305.871876955
23,"Jansen, Danny",4696916.386558468
24,"Santander, Anthony",5054722.640826019
25,"Paredes, Isaac",4774475.7944676075
26,"France, Ty",4811311.6592606
27,"Mountcastle, Ryan",4861114.651197464
28,"Higashioka, Kyle",4650038.793732315
29,"Lowe, Nathaniel",5100345.915491982
30,"Olivares, Edward",4761485.4489521785
31,"Varsho, Daulton",4916302.852097532
32,"Ward, Taylor",4797155.167218668
33,"Chisholm Jr., Jazz",4827294.13579145
34,"Hays, Austin",4994039.716355098
35,"Castro, Willi",4976438.051137436
36,"Trevino, Jose",4365694.129327564
37,"Fraley, Jake",4848977.15735572
38,"McCormick, Chas",5037323.7209977135
39,"Smith, Dominic",4790228.617290713
40,"Madrigal, Nick",4509448.013106381
41,"O'Neill, Tyler",4645828.206533218
42,"Carlson, Dylan",4343847.101214684
43,"O'Hearn, Ryan",4902977.888626742
44,"Berti, Jon",4881072.162318141
45,"Estrada, Thairo",5033054.07680519
46,"Taveras, Leody",4852059.44997574
47,"Sosa, Edmundo",4702145.699487314
48,"Lopez, Nicky",4720500.859839897
49,"Espinal, Santiago",4521819.701617457
50,"Farmer, Kyle",4903618.567969944
51,"Yastrzemski, Mike",4954878.843418394
52,"Stallings, Jacob",4629964.317302883
53,"Jeffers, Ryan",4952033.818177741
54,"Taylor, Tyrone",4569314.935906485
55,"Knizner, Andrew",4587416.142134169
56,"Tapia, Raimel",4746079.162697952
57,"Brown, Seth",4738878.793683571
58,"Senzel, Nick",4683299.986830072
59,"Cave, Jake",4469042.342810359
60,"Haggerty, Sam",4574858.082779869
61,"Mateo, Jorge",4753443.207638531
62,"Grisham, Trent",4901659.268430543
63,"Robles, Victor",4683595.626124485
64,"Joe, Connor",5055281.17866868
65,"Wisdom, Patrick",4720052.85358817
66,"Gordon, Nick",4127114.7775512547
67,"Bethancourt, Christian",4632651.71402156
68,"Slater, Austin",4838408.194339668
69,"Rodgers, Brendan",4499924.640673894
70,"Biggio, Cavan",4875479.47343532
71,"Andujar, Miguel",4500869.159488913
72,"Guillorme, Luis",4444706.522606922
73,"McGuire, Reese",4657643.490925278
74,"Toro, Abraham",4685121.356379284
75,"Gallagher, Cam",4554995.848636768
76,"Cordero, Franchy",4459744.153025963
77,"McKenna, Ryan",4589168.543156484
78,"Meadows, Austin",4418637.001539203
79,"Luplow, Jordan",4624505.782439126
80,"Vogelbach, Daniel",4817334.664422547
81,"Nola, Austin",4453443.596677655
82,"Rojas, Josh",4732873.975803208
83,"Phillips, Brett",4644787.245256436
84,"Castro, Harold",4673583.61565027
85,"Tellez, Rowdy",4702154.256013247
86,"Locastro, Tim",4811213.528540012
87,"Walsh, Jared",4463399.900623751
88,"Lewis, Kyle",4380444.294410873
89,"Mendick, Danny",4286007.786740165
90,"Torrens, Luis",4597745.213162592
91,"Kirilloff, Alex",4769696.710236184
92,"Chavis, Michael",4502538.62148259
93,"Kelly, Carson",4602894.965897998
94,"Hilliard, Sam",4592701.355012853
95,"Thompson, Trayce",4614003.393089508
96,"Perez, Carlos",4430444.588202371
97,"Perez, Carlos",4298547.40524048
98,"Stubbs, Garrett",4446263.305878533
99,"Davis, J.D.",5045991.70859905
100,"Stephenson, Tyler",5040963.852672893
