index,Player,Pos.,Team,Age,Arb Year,Yrs,Dollars,Type,Season
0,Vladimir Guerrero Jr.,1B,TOR,23,Super-2-1,1,"$7,900,000",Avoided,2022
1,Pete Alonso,1B,NYM,27,Arb 1,1,"$7,400,000",Avoided,2022
2,Max Fried,SP,ATL,28,Super-2-2,1,"$6,850,000",Settlement,2022
3,Brandon Woodruff,SP,MIL,29,Super-2-2,1,"$6,800,000",Avoided,2022
4,Corbin Burnes,SP,MIL,27,Arb 1,1,"$6,500,000",Avoided,2022
5,Gleyber Torres,2B,NYY,25,Super-2-2,1,"$6,250,000",Avoided,2022
6,Juan Soto,RF,SD,23,Super-2-2,1,"$17,100,000",Avoided,2022
7,Shane Bieber,SP,CLE,27,Arb 1,1,"$6,000,000",Avoided,2022
8,Willy Adames,SS,MIL,26,Arb 1,1,"$4,600,000",Avoided,2022
9,Austin Meadows,LF,DET,27,Arb 1,1,"$4,000,000",Avoided,2022
10,Raimel Tapia,RF,TOR,28,Arb 2,1,"$3,950,000",Avoided,2022
11,Austin Riley,3B,ATL,25,Super-2-1,1,"$3,950,000",Settlement,2022
12,Ryan Yarbrough,SP,TB,30,Super-2-2,1,"$3,850,000",Avoided,2022
13,Mike Yastrzemski,CF,SF,31,Super-2-1,1,"$3,700,000",Avoided,2022
14,Alex Verdugo,LF,BOS,26,Arb 1,1,"$3,550,000",Avoided,2022
15,Tyler O'Neill,LF,STL,27,Arb 1,1,"$3,400,000",Settlement,2022
16,Carson Kelly,C,ARI,27,Super-2-2,1,"$3,325,000",Avoided,2022
17,Kyle Farmer,SS,CIN,31,Arb 1,1,"$3,155,000",Avoided,2022
18,Anthony Santander,RF,BAL,27,Super-2-2,1,"$3,150,000",Avoided,2022
19,Adalberto Mondesi,SS,KC,26,Arb 2,1,"$3,000,000",Avoided,2022
20,Jeff McNeil,2B,NYM,30,Arb 1,1,"$3,000,000",Avoided,2022
21,Framber Valdez,SP,HOU,28,Super-2-1,1,"$3,000,000",Avoided,2022
22,Giovanny Gallegos,RP,STL,30,Arb 1,1,"$2,410,000",Avoided,2022
23,Yandy Diaz,3B,TB,30,Arb 1,1,"$2,800,000",Avoided,2022
24,Jorge Alfaro,C,SD,29,Arb 2,1,"$2,725,000",Avoided,2022
25,Nick Pivetta,SP,BOS,29,Arb 1,1,"$2,650,000",Avoided,2022
26,Christian Walker,1B,ARI,31,Arb 1,1,"$2,600,000",Avoided,2022
27,Nicky Lopez,3B,KC,27,Super-2-1,1,"$2,550,000",Settlement,2022
28,Luis Urias,2B,MIL,25,Super-2-1,1,"$2,550,000",,2022
29,Cal Quantrill,SP,CLE,27,Super-2-1,1,"$2,510,000",Avoided,2022
30,Jacob Stallings,C,MIA,32,Super-2-2,1,"$2,450,000",Settlement,2022
31,Pablo Lopez,SP,MIA,26,Arb 1,1,"$2,450,000",Settlement,2022
32,Adrian Houser,SP,MIL,29,Arb 1,1,"$2,425,000",Settlement,2022
33,Eric Lauer,SP,MIL,27,Arb 1,1,"$2,425,000",Avoided,2022
34,Scott Barlow,RP/CL,KC,29,Arb 1,1,"$2,400,000",Avoided,2022
35,Chris Paddack,SP,MIN,26,Arb 1,1,"$2,250,000",Avoided,2022
36,A.J. Minter,RP,ATL,28,Super-2-2,1,"$2,200,000",Avoided,2022
37,Erick Fedde,SP,WSH,29,Arb 1,1,"$2,150,000",Avoided,2022
38,Diego Castillo,RP,SEA,28,Arb 1,1,"$2,150,000",Avoided,2022
39,Luis Arraez,2B,MIN,25,Super-2-1,1,"$2,125,000",Avoided,2022
40,Cavan Biggio,2B,TOR,27,Super-2-1,1,"$2,122,500",Avoided,2022
41,Ramon Laureano,RF,OAK,27,Arb 1,1,"$2,450,000",Avoided,2022
42,Amir Garrett,RP,KC,30,Arb 2,1,"$2,025,000",Avoided,2022
43,Adam Engel,RF,CHW,30,Arb 2,1,"$2,000,000",Avoided,2022
44,Caleb Smith,RP,ARI,30,Arb 2,1,"$2,000,000",,2022
45,Kevin Newman,SS,PIT,28,Arb 1,1,"$1,950,000",Avoided,2022
46,Danny Jansen,C,TOR,27,Arb 1,1,"$1,950,000",Avoided,2022
47,Rowdy Tellez,1B,MIL,27,Arb 1,1,"$1,940,000",Avoided,2022
48,Luke Voit,DH,WSH,31,Super-2-2,1,"$5,450,000",Avoided,2022
49,Garrett Hampson,SS,COL,27,Arb 1,1,"$1,862,500",Avoided,2022
50,Austin Slater,CF,SF,29,Super-2-2,1,"$1,850,000",Avoided,2022
51,Andrew Kittredge,RP,TB,32,Arb 1,1,"$1,850,000",Avoided,2022
52,Luis Cessa,SP,CIN,30,Super-2-3,1,"$1,800,000",Avoided,2022
53,Domingo German,SP,NYY,29,Arb 1,1,"$1,750,000",Avoided,2022
54,Paul Sewald,RP/CL,SEA,32,Arb 1,1,"$1,735,000",Avoided,2022
55,Victor Robles,CF,WSH,25,Arb 1,1,"$1,650,000",Avoided,2022
56,Jonathan Loaisiga,RP,NYY,27,Arb 1,1,"$1,650,000",Avoided,2022
57,Dinelson Lamet,RP,COL,29,Super-2-3,1,"$4,775,000",,2022
58,Adam Cimber,RP,TOR,31,Super-2-2,1,"$1,575,000",Avoided,2022
59,Francisco Mejia,C,TB,26,Arb 1,1,"$1,455,000",Avoided,2022
60,Franmil Reyes,DH,CHC,26,Arb 1,1,"$4,550,000",Avoided,2022
61,Tyler Matzek,RP,ATL,31,Arb 1,1,"$1,400,000",Avoided,2022
62,Jordan Luplow,OF,ARI,28,Arb 1,1,"$1,400,000",Avoided,2022
63,Victor Reyes,RF,DET,27,Arb 1,1,"$1,400,000",Avoided,2022
64,Tim Hill,RP,SD,32,Arb 1,1,"$1,325,000",Avoided,2022
65,Caleb Thielbar,RP,MIN,35,Super-2-2,1,"$1,300,000",Avoided,2022
66,Ryan O'Hearn,1B,KC,28,Arb 1,1,"$1,300,000",Avoided,2022
67,Harold Castro,3B,DET,28,Super-2-1,1,"$1,275,000",Avoided,2022
68,Nick Senzel,CF,CIN,27,Super-2-1,1,"$1,250,000",Avoided,2022
69,Lucas Sims,RP,CIN,28,Arb 1,1,"$1,250,000",Settlement,2022
